Item,Category,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Restaurant,Meal Type
Premium Grilled Chicken Classic Sandwich,Chicken & Fish,200.0,350,9.0,2.0,0.0,65,820,42,3.0,8,28,McDonalds,Mains
Premium Crispy Chicken Club Sandwich,Chicken & Fish,249.0,670,33.0,9.0,0.0,85,1410,58,3.0,11,36,McDonalds,Mains
Premium Grilled Chicken Club Sandwich,Chicken & Fish,235.0,510,20.0,7.0,0.0,105,1250,44,3.0,9,40,McDonalds,Mains
Premium Crispy Chicken Ranch BLT Sandwich,Chicken & Fish,230.0,610,28.0,6.0,0.0,70,1400,57,3.0,11,32,McDonalds,Mains
Premium Grilled Chicken Ranch BLT Sandwich,Chicken & Fish,217.0,450,15.0,4.5,0.0,90,1230,43,3.0,9,36,McDonalds,Mains
Bacon Clubhouse Crispy Chicken Sandwich,Chicken & Fish,284.0,750,38.0,10.0,0.5,90,1720,65,4.0,16,36,McDonalds,Mains
Bacon Clubhouse Grilled Chicken Sandwich,Chicken & Fish,270.0,590,25.0,8.0,0.0,110,1560,51,4.0,14,40,McDonalds,Mains
Southern Style Crispy Chicken Sandwich,Chicken & Fish,160.0,430,19.0,3.0,0.0,45,910,43,2.0,7,21,McDonalds,Mains
McChicken,Chicken & Fish,143.0,360,16.0,3.0,0.0,35,800,40,2.0,5,14,McDonalds,Mains
Bacon Cheddar McChicken,Chicken & Fish,171.0,480,24.0,7.0,0.0,65,1260,43,2.0,6,22,McDonalds,Mains
Bacon Buffalo Ranch McChicken,Chicken & Fish,161.0,430,21.0,5.0,0.0,50,1260,41,2.0,6,20,McDonalds,Mains
Buffalo Ranch McChicken,Chicken & Fish,148.0,360,16.0,3.0,0.0,35,990,40,2.0,5,14,McDonalds,Mains
Premium McWrap Chicken & Bacon (Crispy Chicken),Chicken & Fish,316.0,630,32.0,9.0,0.5,80,1540,56,3.0,7,32,McDonalds,Mains
Premium McWrap Chicken & Bacon (Grilled Chicken),Chicken & Fish,302.0,480,19.0,7.0,0.0,95,1370,42,3.0,6,36,McDonalds,Mains
Premium McWrap Chicken & Ranch (Crispy Chicken),Chicken & Fish,310.0,610,31.0,8.0,0.5,65,1340,56,3.0,8,27,McDonalds,Mains
Premium McWrap Chicken & Ranch (Grilled Chicken),Chicken & Fish,297.0,450,18.0,6.0,0.5,80,1170,42,3.0,6,30,McDonalds,Mains
Premium McWrap Southwest Chicken (Crispy Chicken),Chicken & Fish,314.0,670,33.0,8.0,0.5,60,1480,68,5.0,12,27,McDonalds,Mains
Premium McWrap Southwest Chicken (Grilled Chicken),Chicken & Fish,318.0,520,20.0,6.0,0.0,80,1320,55,5.0,10,31,McDonalds,Mains
Premium McWrap Chicken Sweet Chili (Crispy Chicken),Chicken & Fish,304.0,540,23.0,4.5,0.0,50,1260,61,3.0,14,23,McDonalds,Mains
Premium McWrap Chicken Sweet Chili (Grilled Chicken),Chicken & Fish,291.0,380,10.0,3.0,0.0,65,1090,47,3.0,12,27,McDonalds,Mains
Chicken McNuggets (4 piece),Chicken & Fish,65.0,190,12.0,2.0,0.0,25,360,12,1.0,0,9,McDonalds,Mains
Chicken McNuggets (6 piece),Chicken & Fish,97.0,280,18.0,3.0,0.0,40,540,18,1.0,0,13,McDonalds,Mains
Chicken McNuggets (10 piece),Chicken & Fish,162.0,470,30.0,5.0,0.0,65,900,30,2.0,0,22,McDonalds,Mains
Chicken McNuggets (20 piece),Chicken & Fish,323.0,940,59.0,10.0,0.0,135,1800,59,3.0,0,44,McDonalds,Mains
Filet-O-Fish,Chicken & Fish,142.0,390,19.0,4.0,0.0,40,590,39,2.0,5,15,McDonalds,Mains
Premium Bacon Ranch Salad (without Chicken),Salads,223.0,140,7.0,3.5,0.0,25,300,10,3.0,4,9,McDonalds,Sides
Premium Bacon Ranch Salad with Crispy Chicken,Salads,255.0,380,21.0,6.0,0.0,70,860,22,2.0,5,25,McDonalds,Sides
Premium Bacon Ranch Salad with Grilled Chicken,Salads,241.0,220,8.0,4.0,0.0,85,690,8,2.0,4,29,McDonalds,Sides
Premium Southwest Salad (without Chicken),Salads,230.0,140,4.5,2.0,0.0,10,150,20,6.0,6,6,McDonalds,Sides
Premium Southwest Salad with Crispy Chicken,Salads,348.0,450,22.0,4.5,0.0,50,850,42,7.0,12,23,McDonalds,Sides
Premium Southwest Salad with Grilled Chicken,Salads,335.0,290,8.0,2.5,0.0,70,680,28,7.0,10,27,McDonalds,Sides
Chipotle BBQ Snack Wrap (Crispy Chicken),Snacks & Sides,130.0,340,15.0,4.5,0.0,30,780,37,1.0,8,14,McDonalds,Sides
Chipotle BBQ Snack Wrap (Grilled Chicken),Snacks & Sides,123.0,260,8.0,3.5,0.0,40,700,30,1.0,7,16,McDonalds,Sides
Honey Mustard Snack Wrap (Crispy Chicken),Snacks & Sides,123.0,330,15.0,4.5,0.0,35,730,34,1.0,3,14,McDonalds,Sides
Honey Mustard Snack Wrap (Grilled Chicken),Snacks & Sides,116.0,250,8.0,3.5,0.0,45,650,27,1.0,2,16,McDonalds,Sides
Ranch Snack Wrap (Crispy Chicken),Snacks & Sides,128.0,360,20.0,5.0,0.0,40,810,32,1.0,3,15,McDonalds,Sides
Ranch Snack Wrap (Grilled Chicken),Snacks & Sides,121.0,280,13.0,4.5,0.0,45,720,25,1.0,2,16,McDonalds,Sides
Small French Fries,Snacks & Sides,75.0,230,11.0,1.5,0.0,0,130,30,2.0,0,2,McDonalds,Sides
Medium French Fries,Snacks & Sides,111.0,340,16.0,2.5,0.0,0,190,44,4.0,0,4,McDonalds,Sides
Large French Fries,Snacks & Sides,168.0,510,24.0,3.5,0.0,0,290,67,5.0,0,6,McDonalds,Sides
Kids French Fries,Snacks & Sides,38.0,110,5.0,1.0,0.0,0,65,15,1.0,0,1,McDonalds,Sides
Side Salad,Snacks & Sides,87.0,20,0.0,0.0,0.0,0,10,4,1.0,2,1,McDonalds,Sides
Apple Slices,Snacks & Sides,34.0,15,0.0,0.0,0.0,0,0,4,0.0,3,0,McDonalds,Sides
Fruit 'n Yogurt Parfait,Snacks & Sides,149.0,150,2.0,1.0,0.0,5,70,30,1.0,23,4,McDonalds,Sides
Baked Apple Pie,Desserts,77.0,250,13.0,7.0,0.0,0,170,32,4.0,13,2,McDonalds,Sides
Chocolate Chip Cookie,Desserts,33.0,160,8.0,3.5,0.0,10,90,21,1.0,15,2,McDonalds,Sides
Oatmeal Raisin Cookie,Desserts,33.0,150,6.0,2.5,0.0,10,135,22,1.0,13,2,McDonalds,Sides
Kids Ice Cream Cone,Desserts,29.0,45,1.5,1.0,0.0,5,20,7,0.0,6,1,McDonalds,Sides
Hot Fudge Sundae,Desserts,179.0,330,9.0,7.0,0.0,25,170,53,1.0,48,8,McDonalds,Sides
Hot Caramel Sundae,Desserts,182.0,340,8.0,5.0,0.0,30,150,60,0.0,43,7,McDonalds,Sides
Strawberry Sundae,Desserts,178.0,280,6.0,4.0,0.0,25,85,49,0.0,45,6,McDonalds,Sides
WHOPPER Sandwich,WHOPPER SANDWICHES,270.0,660,40.0,12.0,1.5,90,980,49,2.0,11,28,Burger King,Mains
WHOPPER Sandwich with Cheese,WHOPPER SANDWICHES,292.0,740,46.0,16.0,2.0,115,1340,50,2.0,11,32,Burger King,Mains
Bacon & Cheese WHOPPER Sandwich,WHOPPER SANDWICHES,303.0,790,51.0,17.0,2.0,125,1560,50,2.0,11,35,Burger King,Mains
DOUBLE WHOPPER Sandwich,WHOPPER SANDWICHES,354.0,900,58.0,20.0,3.0,175,1050,49,2.0,11,48,Burger King,Mains
DOUBLE WHOPPER Sandwich with Cheese,WHOPPER SANDWICHES,377.0,980,64.0,24.0,3.0,195,1410,50,2.0,11,52,Burger King,Mains
TRIPLE WHOPPER Sandwich,WHOPPER SANDWICHES,438.0,1130,75.0,28.0,4.0,255,1120,49,2.0,11,67,Burger King,Mains
TRIPLE WHOPPER Sandwich with Cheese,WHOPPER SANDWICHES,461.0,1220,82.0,32.0,4.5,280,1470,50,2.0,11,71,Burger King,Mains
WHOPPER JR.  Sandwich,WHOPPER SANDWICHES,134.0,310,18.0,5.0,0.5,40,390,27,1.0,7,13,Burger King,Mains
BACON KING Sandwich,FLAME BROILED BURGERS,356.0,1150,79.0,31.0,3.5,240,2150,49,2.0,10,61,Burger King,Mains
Cheddar BACON KING Sandwich,FLAME BROILED BURGERS,366.0,1190,84.0,33.0,3.5,235,1930,50,2.0,11,64,Burger King,Mains
Single Quarter Pound KING Sandwich,FLAME BROILED BURGERS,231.0,580,29.0,13.0,1.5,105,1310,49,2.0,10,32,Burger King,Mains
Double Quarter Pound KING Sandwich,FLAME BROILED BURGERS,338.0,900,54.0,25.0,3.0,210,1740,50,2.0,11,56,Burger King,Mains
Single STACKER KING,FLAME BROILED BURGERS,223.0,700,42.0,16.0,2.0,125,1360,48,1.0,10,35,Burger King,Mains
Double STACKER KING,FLAME BROILED BURGERS,334.0,1050,68.0,28.0,3.5,235,1870,49,1.0,11,61,Burger King,Mains
IMPOSSIBLE WHOPPER Sandwich**,FLAME BROILED BURGERS,285.0,630,34.0,11.0,0.0,10,1080,58,4.0,12,25,Burger King,Mains
Hamburger,FLAME BROILED BURGERS,99.0,240,10.0,3.5,0.5,35,380,26,1.0,6,13,Burger King,Mains
Cheeseburger,FLAME BROILED BURGERS,111.0,280,13.0,6.0,0.5,45,560,27,1.0,7,15,Burger King,Mains
Double Hamburger,FLAME BROILED BURGERS,136.0,350,18.0,7.0,1.0,70,410,26,1.0,6,21,Burger King,Mains
Double Cheeseburger,FLAME BROILED BURGERS,148.0,390,21.0,9.0,1.5,85,590,27,1.0,7,23,Burger King,Mains
Extra Long Cheeseburger,FLAME BROILED BURGERS,226.0,630,37.0,14.0,1.5,100,1050,45,2.0,9,29,Burger King,Mains
Bacon Cheeseburger,FLAME BROILED BURGERS,118.0,320,16.0,7.0,0.5,55,710,27,1.0,7,17,Burger King,Mains
Bacon Double Cheeseburger,FLAME BROILED BURGERS,155.0,420,24.0,10.0,1.5,90,740,27,1.0,7,25,Burger King,Mains
Crispy Chicken Sandwich,CHICKEN & MORE,228.0,670,41.0,7.0,0.0,60,1080,54,2.0,8,23,Burger King,Mains
Spicy Crispy Chicken Sandwich,CHICKEN & MORE,242.0,700,42.0,7.0,0.0,65,1140,57,3.0,8,25,Burger King,Mains
Original Chicken Sandwich,CHICKEN & MORE,219.0,660,40.0,7.0,0.0,75,1170,48,2.0,5,28,Burger King,Mains
Bacon & Cheese Crispy Chicken Sandwich,CHICKEN & MORE,262.0,800,52.0,13.0,1.0,95,1650,55,2.0,8,30,Burger King,Mains
BBQ Bacon Crispy Chicken Sandwich,CHICKEN & MORE,249.0,790,49.0,10.0,0.5,80,1630,60,2.0,13,28,Burger King,Mains
Crispy Chicken Jr.,CHICKEN & MORE,142.0,450,30.0,5.0,0.0,30,780,34,2.0,5,12,Burger King,Mains
Spicy Crispy Chicken Jr.,CHICKEN & MORE,142.0,390,21.0,3.5,0.0,30,740,37,2.0,6,12,Burger King,Mains
Chicken Nuggets- 4pc,CHICKEN & MORE,58.0,170,11.0,1.5,0.0,25,310,11,1.0,0,8,Burger King,Mains
Chicken Nuggets- 6pc,CHICKEN & MORE,88.0,260,16.0,2.5,0.0,35,470,16,1.0,0,12,Burger King,Mains
Chicken Nuggets- 10pc,CHICKEN & MORE,146.0,430,27.0,4.5,0.0,55,780,27,2.0,0,20,Burger King,Mains
Chicken Nuggets- 20pc,CHICKEN & MORE,292.0,860,54.0,9.0,0.0,115,1570,53,3.0,1,39,Burger King,Mains
Spicy Chicken Nuggets- 4pc,CHICKEN & MORE,66.0,210,15.0,3.0,0.0,20,570,11,2.0,0,8,Burger King,Mains
Spicy Chicken Nuggets- 6pc,CHICKEN & MORE,99.0,320,22.0,4.5,0.0,35,850,17,3.0,0,12,Burger King,Mains
Spicy Chicken Nuggets- 10 pc,CHICKEN & MORE,165.0,530,37.0,7.0,0.0,55,1420,28,4.0,1,20,Burger King,Mains
Spicy Chicken Nuggets- 20 pc,CHICKEN & MORE,330.0,1050,74.0,15.0,0.0,110,2840,56,9.0,1,40,Burger King,Mains
Chicken Fries - 9 pc.,CHICKEN & MORE,91.0,280,17.0,2.5,0.0,35,850,20,1.0,1,13,Burger King,Mains
Crispy Taco,CHICKEN & MORE,76.0,170,9.0,3.0,0.0,10,410,19,2.0,1,5,Burger King,Mains
BIG FISH Sandwich,CHICKEN & MORE,188.0,510,28.0,4.5,0.0,30,1180,51,2.0,7,16,Burger King,Mains
Garden Chicken Salad with Crispy Chicken - no dressing,SALADS & SIDES,287.0,440,25.0,7.0,0.0,75,930,31,3.0,4,25,Burger King,Sides
Club Salad with Crispy Chicken - no dressing,SALADS & SIDES,308.0,540,33.0,10.0,0.0,95,1380,31,3.0,5,31,Burger King,Sides
Garden Side Salad - w/o dressing,SALADS & SIDES,99.0,60,4.0,2.5,0.0,10,95,3,1.0,2,4,Burger King,Sides
Ken's Ranch Dressing,SALADS & SIDES,43.0,260,28.0,4.0,0.0,10,240,2,0.0,2,1,Burger King,Sides
Ken's Golden Italian Dressing,SALADS & SIDES,43.0,160,17.0,2.5,0.0,0,380,4,0.0,3,0,Burger King,Sides
Ken's Lite Honey Balsamic Vinaigrette,SALADS & SIDES,43.0,120,8.0,1.0,0.0,0,220,14,0.0,11,0,Burger King,Sides
Buttery Garlic Croutons- Packet,SALADS & SIDES,14.0,60,2.5,0.0,0.0,10,180,9,0.0,1,1,Burger King,Sides
Onion Rings - value,SALADS & SIDES,43.0,150,8.0,1.5,0.0,0,400,19,1.0,2,1,Burger King,Sides
Onion Rings - small,SALADS & SIDES,91.0,320,16.0,3.0,0.0,0,840,41,3.0,4,3,Burger King,Sides
Onion Rings - medium,SALADS & SIDES,117.0,410,21.0,3.5,0.0,0,1080,53,4.0,5,4,Burger King,Sides
Onion Rings - large,SALADS & SIDES,142.0,500,25.0,4.5,0.0,0,1310,64,5.0,7,5,Burger King,Sides
French Fries - value (unsalted),SALADS & SIDES,89.0,220,9.0,1.5,0.0,0,210,34,3.0,1,2,Burger King,Sides
French Fries - small  (unsalted),SALADS & SIDES,128.0,320,13.0,2.0,0.0,0,300,49,5.0,1,4,Burger King,Sides
French Fries - medium (unsalted),SALADS & SIDES,153.0,380,16.0,2.0,0.0,0,360,58,6.0,1,4,Burger King,Sides
French Fries - large (unsalted),SALADS & SIDES,173.0,430,18.0,2.5,0.0,0,410,66,7.0,2,5,Burger King,Sides
Kids Oatmeal,KING JR MEALS Entrees ,167.0,170,3.0,1.5,0.0,5,260,32,3.0,12,4,Burger King,Mains
Chicken Nuggets- 4pc,KING JR MEALS Entrees ,58.0,170,11.0,1.5,0.0,25,310,11,1.0,0,8,Burger King,Mains
Chicken Nuggets- 6pc,KING JR MEALS Entrees ,88.0,260,16.0,2.5,0.0,35,470,16,1.0,0,12,Burger King,Mains
Hamburger,KING JR MEALS Entrees ,99.0,240,10.0,3.5,0.5,35,380,26,1.0,6,13,Burger King,Mains
Cheeseburger,KING JR MEALS Entrees ,111.0,280,13.0,6.0,0.5,45,560,27,1.0,7,15,Burger King,Mains
Dutch Apple Pie,KING JR MEALS Desserts,107.0,340,14.0,6.0,0.0,0,310,51,1.0,25,3,Burger King,Sides
HERSHEY'S Sundae Pie,KING JR MEALS Desserts,79.0,310,19.0,12.0,0.0,10,220,32,1.0,22,3,Burger King,Sides
Pie made with TWIX,KING JR MEALS Desserts,102.0,370,20.0,13.0,0.0,10,330,45,1.0,30,4,Burger King,Sides
OREO Cookie Cheesecake,KING JR MEALS Desserts,92.0,350,18.0,8.0,0.0,35,310,41,1.0,25,6,Burger King,Sides
Soft Serve Cone,KING JR MEALS Desserts,120.0,190,4.5,3.0,0.0,20,150,32,0.0,24,5,Burger King,Sides
Soft Serve Cup,KING JR MEALS Desserts,115.0,170,4.5,3.0,0.0,20,150,28,0.0,24,5,Burger King,Sides
HERSHEY's Chocolate Sundae,KING JR MEALS Desserts,149.0,260,5.0,3.0,0.0,20,160,49,1.0,43,5,Burger King,Sides
Caramel Sundae,KING JR MEALS Desserts,137.0,240,5.0,3.5,0.0,20,210,42,0.0,33,5,Burger King,Sides
Chocolate Chip Cookies (each),KING JR MEALS Desserts,38.0,160,8.0,4.0,0.0,10,125,24,1.0,15,2,Burger King,Sides
CROISSAN'WICH Egg & Cheese,BREAKFAST,125.0,340,18.0,8.0,0.0,160,610,29,1.0,4,12,Burger King,Breakfast
"CROISSAN'WICH Sausage, Egg & Cheese",BREAKFAST,169.0,500,33.0,13.0,0.0,195,930,30,1.0,4,19,Burger King,Breakfast
"CROISSAN'WICH Ham, Egg & Cheese",BREAKFAST,156.0,370,19.0,8.0,0.0,175,1030,30,1.0,5,17,Burger King,Breakfast
"CROISSAN'WICH Bacon, Egg & Cheese",BREAKFAST,132.0,370,21.0,9.0,0.0,170,760,30,1.0,4,14,Burger King,Breakfast
Fully Loaded CROISSAN'WICH,BREAKFAST,218.0,610,40.0,17.0,0.5,225,1680,31,1.0,5,28,Burger King,Breakfast
Double CROISSAN'WICH with Sausage & Bacon,BREAKFAST,187.0,580,40.0,16.0,0.5,215,1260,31,1.0,5,23,Burger King,Breakfast
Double CROISSAN'WICH with Sausage,BREAKFAST,224.0,710,52.0,20.0,0.5,240,1420,31,1.0,5,29,Burger King,Breakfast
Fully Loaded Biscuit,BREAKFAST,238.0,640,45.0,20.0,0.0,225,2190,31,1.0,4,28,Burger King,Breakfast
"Ham, Egg, & Cheese Biscuit",BREAKFAST,176.0,400,24.0,12.0,0.0,175,1550,29,1.0,3,17,Burger King,Breakfast
"Sausage, Egg, & Cheese Biscuit",BREAKFAST,189.0,530,38.0,17.0,0.0,195,1440,29,1.0,3,19,Burger King,Breakfast
"Bacon, Egg & Cheese Biscuit",BREAKFAST,152.0,400,26.0,13.0,0.0,170,1270,29,1.0,3,13,Burger King,Breakfast
Sausage Biscuit,BREAKFAST,121.0,420,28.0,6.0,0.0,35,1050,28,1.0,2,12,Burger King,Breakfast
Breakfast Burrito Jr.,BREAKFAST,143.0,370,23.0,8.0,0.0,150,930,27,3.0,2,15,Burger King,Breakfast
EGG-NORMOUS BURRITO,BREAKFAST,310.0,780,42.0,15.0,0.0,355,1960,68,3.0,4,32,Burger King,Breakfast
BK Ultimate Breakfast Platter,BREAKFAST,390.0,930,44.0,11.0,0.0,390,2230,110,4.0,40,24,Burger King,Breakfast
NY Ultimate Platter (Regional menu item),BREAKFAST,400.0,900,46.0,12.0,0.0,380,1760,95,5.0,31,25,Burger King,Breakfast
Pancake and Sausage platter,BREAKFAST,217.0,610,31.0,9.0,0.0,80,1010,72,1.0,30,12,Burger King,Breakfast
Hash Browns - small,BREAKFAST,84.0,250,16.0,3.5,0.0,0,580,24,3.0,0,2,Burger King,Breakfast
Hash Browns - medium,BREAKFAST,169.0,500,33.0,7.0,0.0,0,1140,48,7.0,0,4,Burger King,Breakfast
Hash Browns - large,BREAKFAST,225.0,670,44.0,9.0,0.0,0,1530,65,9.0,0,5,Burger King,Breakfast
French Toast Sticks (3 piece),BREAKFAST,65.0,230,11.0,2.0,0.0,0,260,29,1.0,8,3,Burger King,Breakfast
French Toast Sticks (5 piece),BREAKFAST,109.0,380,18.0,3.0,0.0,0,430,49,2.0,13,5,Burger King,Breakfast
